coach,year,team,position,squad
Doc Holliday,1993,West Virginia,WR,1993 West Virginia
Mike Locksley,1993,Navy Prep (RI),DC,1993 Navy Prep (RI)
Chuck Martin,1993,Mankato State,GA,1993 Mankato State
Jim Harbaugh,1993,Bears,player,1993 Bears
Rick Stockstill,1993,Clemson,PGC,1993 Clemson
Mike Leach,1993,Valdosta State,OC,1993 Valdosta State
Ken Niumatalolo,1993,Hawaii,GA,1993 Hawaii
Scott Frost,1993,Stanford,player,1993 Stanford
Jay Norvell,1993,Wisconsin,OL,1993 Wisconsin
Doug Martin,1993,East Carolina,TE,1993 East Carolina
Mack Brown,1993,North Carolina,HC,1993 North Carolina
Dave Doeren,1993,Drake,player,1993 Drake
Pat Fitzgerald,1993,Northwestern,player,1993 Northwestern
Brian Kelly,1993,Grand Valley State,HC,1993 Grand Valley State
Frank Solich,1993,Nebraska,RB,1993 Nebraska
Mike Gundy,1993,Oklahoma State,QB,1993 Oklahoma State
James Franklin,1993,East Stroudsburg,player,1993 East Stroudsburg
Pat Narduzzi,1993,Rhode Island,LB,1993 Rhode Island
Jeff Brohm,1993,Louisville,player,1993 Louisville
Greg Schiano,1993,Penn State,DB,1993 Penn State
Brady Hoke,1993,Oregon State,DL,1993 Oregon State
Brent Brennan,1993,UCLA,player,1993 UCLA
Sonny Dykes,1993,Texas Tech,baseball player,1993 Texas Tech
Steve Campbell,1993,Nicholls State,OC,1993 Nicholls State
Will Muschamp,1993,Georgia,player,1993 Georgia
Jay Hopson,1993,Delta State,DB,1993 Delta State
David Shaw,1993,Stanford,player,1993 Stanford
Dino Babers,1993,Purdue,WR,1993 Purdue
Gary Patterson,1993,Utah State,DB,1993 Utah State
Rod Carey,1993,Indiana,player,1993 Indiana
Jeremy Pruitt,1993,Middle Tennessee,player,1993 Middle Tennessee
Jimbo Fisher,1993,Auburn,QB,1993 Auburn
Matt Wells,1993,Utah State,player,1993 Utah State
Chip Lindsey,1993,North Alabama,player,1993 North Alabama
Willie Fritz,1993,Blinn,HC,1993 Blinn
Philip Montgomery,1993,Tarleton State,player,1993 Tarleton State
Bill Clark,1993,Tuscaloosa County HS (AL),DC,1993 Tuscaloosa County HS (AL)
Chip Kelly,1993,Johns Hopkins,DC,1993 Johns Hopkins
Clay Helton,1993,Houston,player,1993 Houston
Kyle Whittingham,1993,Idaho State,DC,1993 Idaho State
Gary Andersen,1993,Idaho State,DL,1993 Idaho State
Dana Dimel,1993,Kansas State,OL,1993 Kansas State
Jeff Traylor,1993,Jacksonville HS (TX),Asst,1993 Jacksonville HS (TX)
Bronco Mendenhall,1993,Northern Arizona,DB,1993 Northern Arizona
Dave Clawson,1993,Lehigh,RB,1993 Lehigh
Paul Chryst,1993,Wisconsin-Platteville,OC,1993 Wisconsin-Platteville
Craig Bohl,1993,Rice,DC,1993 Rice
Bo Pelini,1993,Cardinal Mooney HS (OH),QB,1993 Cardinal Mooney HS (OH)
Bob Davie,1993,Texas A&M,DC,1993 Texas A&M
Bob Stoops,1993,Kansas State,co-DC,1993 Kansas State
Bobby Petrino,1993,Arizona State,QB,1993 Arizona State
Bobby Wilder,1993,Maine,WR,1993 Maine
Charlie Strong,1993,Florida,DE,1993 Florida
Chris Ash,1993,Drake,player,1993 Drake
Chris Petersen,1993,Portland State,QB,1993 Portland State
Frank Wilson,1993,Geneva,player,1993 Geneva
Jeff Tedford,1993,Fresno State,OC,1993 Fresno State
Joe Moorhead,1993,Fordham,player,1993 Fordham
Mike Bobo,1993,Georgia,player,1993 Georgia
Rocky Long,1993,Oregon State,DC,1993 Oregon State
Tony Sanchez,1993,Laney CC,player,1993 Laney CC
Urban Meyer,1993,Colorado State,WR,1993 Colorado State
Mark Dantonio,1993,Kansas,DB,1993 Kansas
Nick Saban,1992,Browns,DC,1992 Browns
Kevin Sumlin,1992,Wyoming,WR,1992 Wyoming
Herm Edwards,1992,Chiefs,DB,1992 Chiefs
Sam Pittman,1992,Hutchinson CC,HC,1992 Hutchinson CC
Blake Anderson,1992,Eastern New Mexico,GA,1992 Eastern New Mexico
Jeff Monken,1992,Buffalo,WR,1992 Buffalo
Gus Malzahn,1992,Hughes HS (AR),HC,1992 Hughes HS (AR)
Mike Neu,1992,Ball State,player,1992 Ball State
Lance Leipold,1992,Wisconsin,GA,1992 Wisconsin
Jim McElwain,1992,Eastern Washington,QB,1992 Eastern Washington
Dabo Swinney,1992,Alabama,player,1992 Alabama
Steve Addazio,1992,Cheshire HS (CT),HC,1992 Cheshire HS (CT)
Randy Edsall,1992,Boston College,DB,1992 Boston College
David Cutcliffe,1992,Tennessee,PGC,1992 Tennessee
Chris Creighton,1992,Concordia (IL),OC,1992 Concordia (IL)
Dan Mullen,1992,Ursinus College,player,1992 Ursinus College
Butch Davis,1992,Cowboys,DL,1992 Cowboys
Shawn Elliott,1992,Appalachian State,player,1992 Appalachian State
Geoff Collins,1992,Western Carolina,player,1992 Western Carolina
Dana Holgorsen,1992,Iowa Wesleyan,player,1992 Iowa Wesleyan
Lovie Smith,1992,Kentucky,LB,1992 Kentucky
Tom Allen,1992,Temple Heights HS (FL),HC,1992 Temple Heights HS (FL)
Kirk Ferentz,1992,Maine,HC,1992 Maine
Les Miles,1992,Michigan,OL,1992 Michigan
Chris Klieman,1992,Northern Iowa,DB,1992 Northern Iowa
Mark Stoops,1992,Nordonia HS (OH),DB,1992 Nordonia HS (OH)
Hugh Freeze,1992,Briarcrest HS (TN),OC,1992 Briarcrest HS (TN)
Skip Holtz,1992,Notre Dame,OC,1992 Notre Dame
Matt Viator,1992,Jennings HS (LA),HC,1992 Jennings HS (LA)
Scott Satterfield,1992,Appalachian State,player,1992 Appalachian State
Ed Orgeron,1992,Miami FL,DL,1992 Miami FL
Doc Holliday,1992,West Virginia,LB,1992 West Virginia
Mike Locksley,1992,Towson,DB,1992 Towson
Chuck Martin,1992,Mankato State,GA,1992 Mankato State
Jim Harbaugh,1992,Bears,player,1992 Bears
Mel Tucker,1992,Wisconsin,player,1992 Wisconsin
Rick Stockstill,1992,Clemson,QB,1992 Clemson
Mike Leach,1992,Valdosta State,OC,1992 Valdosta State
Ken Niumatalolo,1992,Hawaii,GA,1992 Hawaii
Jay Norvell,1992,Wisconsin,OL,1992 Wisconsin
Doug Martin,1992,East Carolina,TE,1992 East Carolina
Mack Brown,1992,North Carolina,HC,1992 North Carolina
Dave Doeren,1992,Drake,player,1992 Drake
Brian Kelly,1992,Grand Valley State,HC,1992 Grand Valley State
Frank Solich,1992,Nebraska,RB,1992 Nebraska
Mike Gundy,1992,Oklahoma State,QB,1992 Oklahoma State
Mario Cristobal,1992,Miami FL,player,1992 Miami FL
James Franklin,1992,East Stroudsburg,player,1992 East Stroudsburg
Pat Narduzzi,1992,Miami OH,WR,1992 Miami OH
Jeff Brohm,1992,Louisville,player,1992 Louisville
Greg Schiano,1992,Penn State,DB,1992 Penn State
Brady Hoke,1992,Oregon State,DL,1992 Oregon State
Brent Brennan,1992,UCLA,player,1992 UCLA
Sonny Dykes,1992,Texas Tech,baseball player,1992 Texas Tech
Steve Campbell,1992,Delta State,OL,1992 Delta State
Will Muschamp,1992,Georgia,player,1992 Georgia
Jay Hopson,1992,Tulane,GA,1992 Tulane
David Shaw,1992,Stanford,player,1992 Stanford
Dino Babers,1992,Purdue,WR,1992 Purdue
Gary Patterson,1992,Utah State,DB,1992 Utah State
Rod Carey,1992,Indiana,player,1992 Indiana
Jimbo Fisher,1992,Samford,OC,1992 Samford
Chip Lindsey,1992,North Alabama,player,1992 North Alabama
Willie Fritz,1992,Sam Houston State,DB,1992 Sam Houston State
Philip Montgomery,1992,Tarleton State,player,1992 Tarleton State
Bill Clark,1992,Tuscaloosa County HS (AL),DC,1992 Tuscaloosa County HS (AL)
Chip Kelly,1992,New Hampshire,RB,1992 New Hampshire
Clay Helton,1992,Auburn- player,HC,1992 Auburn- player
Kyle Whittingham,1992,Idaho State,DC,1992 Idaho State
Gary Andersen,1992,Idaho State,DL,1992 Idaho State
Dana Dimel,1992,Kansas State,OL,1992 Kansas State
Jeff Traylor,1992,Big Sandy HS (TX),Asst,1992 Big Sandy HS (TX)
Derek Mason,1992,Northern Arizona,player,1992 Northern Arizona
Bronco Mendenhall,1992,Snow College,DC,1992 Snow College
Dave Clawson,1992,Buffalo,QB,1992 Buffalo
Paul Chryst,1992,San Antonio Riders,WR,1992 San Antonio Riders
Craig Bohl,1992,Rice,DC,1992 Rice
Bob Davie,1992,Texas A&M,DC,1992 Texas A&M
Bob Stoops,1992,Kansas State,co-DC,1992 Kansas State
Bobby Petrino,1992,Arizona State,QB,1992 Arizona State
Bobby Wilder,1992,Maine,DL,1992 Maine
Charlie Strong,1992,Florida,DE,1992 Florida
Chris Ash,1992,Drake,player,1992 Drake
Chris Petersen,1992,Pitt,QB,1992 Pitt
Jeff Tedford,1992,Fresno State,QB,1992 Fresno State
Joe Moorhead,1992,Fordham,player,1992 Fordham
Rocky Long,1992,Oregon State,DC,1992 Oregon State
Tony Sanchez,1992,Laney CC,player,1992 Laney CC
Urban Meyer,1992,Colorado State,WR,1992 Colorado State
Mark Dantonio,1992,Kansas,DB,1992 Kansas
Nick Saban,1991,Browns,DC,1991 Browns
Kevin Sumlin,1991,Wyoming,WR,1991 Wyoming
Herm Edwards,1991,Chiefs,Scout,1991 Chiefs
Sam Pittman,1991,Hutchinson CC,OL,1991 Hutchinson CC
Blake Anderson,1991,Sam Houston State,player,1991 Sam Houston State
Jeff Monken,1991,Arizona State,GA,1991 Arizona State
Gus Malzahn,1991,Hughes HS (AR),DC,1991 Hughes HS (AR)
Mike Neu,1991,Ball State,player,1991 Ball State
Lance Leipold,1991,Wisconsin,GA,1991 Wisconsin
Jim McElwain,1991,Eastern Washington,QB,1991 Eastern Washington
Dabo Swinney,1991,Alabama,player,1991 Alabama
Steve Addazio,1991,Cheshire HS (CT),HC,1991 Cheshire HS (CT)
Randy Edsall,1991,Boston College,DB,1991 Boston College
David Cutcliffe,1991,Tennessee,QB,1991 Tennessee
Chris Creighton,1991,Concordia (IL),OC,1991 Concordia (IL)
Butch Davis,1991,Cowboys,DL,1991 Cowboys
Geoff Collins,1991,Western Carolina,player,1991 Western Carolina
Dana Holgorsen,1991,Iowa Wesleyan,player,1991 Iowa Wesleyan
Lovie Smith,1991,Arizona State,LB,1991 Arizona State
Kirk Ferentz,1991,Maine,HC,1991 Maine
Les Miles,1991,Michigan,OL,1991 Michigan
Chris Klieman,1991,Northern Iowa,DB,1991 Northern Iowa
Mark Stoops,1991,Iowa,GA,1991 Iowa
Skip Holtz,1991,Notre Dame,WR,1991 Notre Dame
Matt Viator,1991,Jennings HS (LA),HC,1991 Jennings HS (LA)
Scott Satterfield,1991,Appalachian State,player,1991 Appalachian State
Ed Orgeron,1991,Miami FL,DL,1991 Miami FL
Doc Holliday,1991,West Virginia,LB,1991 West Virginia
Mike Locksley,1991,Towson,player,1991 Towson
Jim Harbaugh,1991,Bears,player,1991 Bears
Mel Tucker,1991,Wisconsin,player,1991 Wisconsin
Rick Stockstill,1991,Clemson,QB,1991 Clemson
Mike Leach,1991,Iowa Wesleyan,OC,1991 Iowa Wesleyan
Ken Niumatalolo,1991,Hawaii,GA,1991 Hawaii
Jay Norvell,1991,Wisconsin,OL,1991 Wisconsin
Doug Martin,1991,East Tennessee State,OC,1991 East Tennessee State
Mack Brown,1991,North Carolina,HC,1991 North Carolina
Dave Doeren,1991,Drake,player,1991 Drake
Brian Kelly,1991,Grand Valley State,HC,1991 Grand Valley State
Frank Solich,1991,Nebraska,RB,1991 Nebraska
Mike Gundy,1991,Oklahoma State,QB,1991 Oklahoma State
Mario Cristobal,1991,Miami FL,player,1991 Miami FL
James Franklin,1991,East Stroudsburg,player,1991 East Stroudsburg
Pat Narduzzi,1991,Miami OH,GA,1991 Miami OH
Jeff Brohm,1991,Louisville,player,1991 Louisville
Greg Schiano,1991,Penn State,DB,1991 Penn State
Brady Hoke,1991,Oregon State,DL,1991 Oregon State
Brent Brennan,1991,UCLA,player,1991 UCLA
Sonny Dykes,1991,Texas Tech,baseball player,1991 Texas Tech
Steve Campbell,1991,Delta State,OL,1991 Delta State
Will Muschamp,1991,Georgia,player,1991 Georgia
Jay Hopson,1991,Ole Miss,player,1991 Ole Miss
David Shaw,1991,Stanford,player,1991 Stanford
Dino Babers,1991,Purdue,WR,1991 Purdue
Gary Patterson,1991,Sonoma State,DC,1991 Sonoma State
Rod Carey,1991,Indiana,player,1991 Indiana
Jimbo Fisher,1991,Samford,OC,1991 Samford
Willie Fritz,1991,Sam Houston State,DB,1991 Sam Houston State
Philip Montgomery,1991,Tarleton State,player,1991 Tarleton State
Bill Clark,1991,Piedmont HS (AL),Asst,1991 Piedmont HS (AL)
Chip Kelly,1991,Columbia,S,1991 Columbia
Clay Helton,1991,Auburn- player,HC,1991 Auburn- player
Kyle Whittingham,1991,Idaho State,LB,1991 Idaho State
Gary Andersen,1991,Ricks College,OL,1991 Ricks College
Dana Dimel,1991,Kansas State,OL,1991 Kansas State
Jeff Traylor,1991,Big Sandy HS (TX),Asst,1991 Big Sandy HS (TX)
Derek Mason,1991,Northern Arizona,player,1991 Northern Arizona
Bronco Mendenhall,1991,Snow College,DC,1991 Snow College
Dave Clawson,1991,Buffalo,DB,1991 Buffalo
Paul Chryst,1991,San Antonio Riders,WR,1991 San Antonio Riders
Craig Bohl,1991,Rice,DC,1991 Rice
Bo Pelini,1991,Iowa,GA,1991 Iowa
Bob Davie,1991,Texas A&M,DC,1991 Texas A&M
Bob Stoops,1991,Kansas State,co-DC,1991 Kansas State
Bobby Petrino,1991,Idaho,OC,1991 Idaho
Bobby Wilder,1991,Maine,Asst DL,1991 Maine
Charlie Strong,1991,Florida,DE,1991 Florida
Chris Petersen,1991,UC Davis,WR,1991 UC Davis
Jeff Tedford,1991,Calgary Stampeders,Asst,1991 Calgary Stampeders
Rocky Long,1991,Oregon State,DC,1991 Oregon State
Urban Meyer,1991,Colorado State,WR,1991 Colorado State
Mark Dantonio,1991,Kansas,DB,1991 Kansas
Troy Calhoun,1990,Air Force,GA,1990 Air Force
Nick Saban,1990,Toledo,HC,1990 Toledo
Kevin Sumlin,1990,Washington State,GA,1990 Washington State
Herm Edwards,1990,Chiefs,Scout,1990 Chiefs
Sam Pittman,1990,Trenton HS (MO),HC,1990 Trenton HS (MO)
Blake Anderson,1990,Sam Houston State,player,1990 Sam Houston State
Jeff Monken,1990,Hawaii,GA,1990 Hawaii
Mike Neu,1990,Ball State,player,1990 Ball State
Lance Leipold,1990,Wisconsin Whitewater,Asst,1990 Wisconsin Whitewater
Jim McElwain,1990,Eastern Washington,QB,1990 Eastern Washington
Dabo Swinney,1990,Alabama,player,1990 Alabama
Steve Addazio,1990,Cheshire HS (CT),HC,1990 Cheshire HS (CT)
Randy Edsall,1990,Syracuse,DB,1990 Syracuse
David Cutcliffe,1990,Tennessee,QB,1990 Tennessee
Chris Creighton,1990,Kenyon,player,1990 Kenyon
Butch Davis,1990,Cowboys,DL,1990 Cowboys
Geoff Collins,1990,Western Carolina,player,1990 Western Carolina
Lovie Smith,1990,Arizona State,LB,1990 Arizona State
Kirk Ferentz,1990,Maine,HC,1990 Maine
Les Miles,1990,Michigan,OL,1990 Michigan
Chris Klieman,1990,Northern Iowa,player,1990 Northern Iowa
Mark Stoops,1990,Iowa,GA,1990 Iowa
Skip Holtz,1990,Notre Dame,WR,1990 Notre Dame
Matt Viator,1990,Vinton HS (LA),HC,1990 Vinton HS (LA)
Scott Satterfield,1990,Idaho,OC,1990 Idaho
Ed Orgeron,1990,Miami FL,DL,1990 Miami FL
Doc Holliday,1990,West Virginia,LB,1990 West Virginia
Mike Locksley,1990,Towson,player,1990 Towson
Jim Harbaugh,1990,Bears,player,1990 Bears
Mel Tucker,1990,Wisconsin,player,1990 Wisconsin
Rick Stockstill,1990,Clemson,QB,1990 Clemson
Mike Leach,1990,Iowa Wesleyan,OC,1990 Iowa Wesleyan
Ken Niumatalolo,1990,Hawaii,GA,1990 Hawaii
Jay Norvell,1990,Wisconsin,OL,1990 Wisconsin
Doug Martin,1990,East Tennessee State,OC,1990 East Tennessee State
Mack Brown,1990,North Carolina,HC,1990 North Carolina
Dave Doeren,1990,Drake,player,1990 Drake
Brian Kelly,1990,Grand Valley State,DC,1990 Grand Valley State
Frank Solich,1990,Nebraska,RB,1990 Nebraska
Mike Gundy,1990,Oklahoma State,WR,1990 Oklahoma State
Mario Cristobal,1990,Miami FL,player,1990 Miami FL
Pat Narduzzi,1990,Miami OH,GA,1990 Miami OH
Jeff Brohm,1990,Louisville,player,1990 Louisville
Greg Schiano,1990,Penn State,GA,1990 Penn State
Brady Hoke,1990,Oregon State,DL,1990 Oregon State
Brent Brennan,1990,UCLA,player,1990 UCLA
Sonny Dykes,1990,Texas Tech,baseball player,1990 Texas Tech
Steve Campbell,1990,Delta State,OL,1990 Delta State
Jay Hopson,1990,Ole Miss,player,1990 Ole Miss
Dino Babers,1990,Northern Arizona,DB,1990 Northern Arizona
Gary Patterson,1990,Sonoma State,DC,1990 Sonoma State
Rod Carey,1990,Indiana,player,1990 Indiana
Jimbo Fisher,1990,Samford,QB,1990 Samford
Willie Fritz,1990,Coffeyville CC,DC,1990 Coffeyville CC
Philip Montgomery,1990,Tarleton State,player,1990 Tarleton State
Bill Clark,1990,Piedmont HS (AL),Asst,1990 Piedmont HS (AL)
Chip Kelly,1990,Columbia,DB,1990 Columbia
Clay Helton,1990,Auburn- player,HC,1990 Auburn- player
Kyle Whittingham,1990,Idaho State,LB,1990 Idaho State
Gary Andersen,1990,Ricks College,OL,1990 Ricks College
Dana Dimel,1990,Kansas State,OL,1990 Kansas State
Jeff Traylor,1990,Big Sandy HS (TX),Asst,1990 Big Sandy HS (TX)
Derek Mason,1990,Northern Arizona,player,1990 Northern Arizona
Bronco Mendenhall,1990,Oregon State,DL,1990 Oregon State
Dave Clawson,1990,Albany,GA,1990 Albany
Paul Chryst,1990,West Virginia,GA,1990 West Virginia
Craig Bohl,1990,Rice,DC,1990 Rice
Bo Pelini,1990,Ohio State,player,1990 Ohio State
Bob Davie,1990,Texas A&M,DC,1990 Texas A&M
Bob Stoops,1990,Kansas State,DB,1990 Kansas State
Bobby Petrino,1990,Idaho,OC,1990 Idaho
Bobby Wilder,1990,Maine,RB,1990 Maine
Charlie Strong,1990,Ole Miss,WR,1990 Ole Miss
Chris Petersen,1990,UC Davis,WR,1990 UC Davis
Jeff Tedford,1990,Calgary Stampeders,Asst,1990 Calgary Stampeders
Rocky Long,1990,TCU,DB,1990 TCU
Urban Meyer,1990,Colorado State,WR,1990 Colorado State
Mark Dantonio,1990,Youngstown State,DC,1990 Youngstown State
Troy Calhoun,1989,Air Force,GA,1989 Air Force
Nick Saban,1989,Oilers,DB,1989 Oilers
Kevin Sumlin,1989,Washington State,GA,1989 Washington State
Herm Edwards,1989,San Jose State,DB,1989 San Jose State
Sam Pittman,1989,Trenton HS (MO),HC,1989 Trenton HS (MO)
Blake Anderson,1989,Sam Houston State,player,1989 Sam Houston State
Jeff Monken,1989,Hawaii,GA,1989 Hawaii
Gus Malzahn,1989,Henderson State,player,1989 Henderson State
Lance Leipold,1989,Doane,Asst,1989 Doane
Jim McElwain,1989,Eastern Washington,QB,1989 Eastern Washington
Steve Addazio,1989,Cheshire HS (CT),HC,1989 Cheshire HS (CT)
Randy Edsall,1989,Syracuse,DB,1989 Syracuse
David Cutcliffe,1989,Tennessee,RB,1989 Tennessee
Chris Creighton,1989,Kenyon,player,1989 Kenyon
Butch Davis,1989,Cowboys,DL,1989 Cowboys
Geoff Collins,1989,Western Carolina,player,1989 Western Carolina
Lovie Smith,1989,Arizona State,LB,1989 Arizona State
Kirk Ferentz,1989,Iowa,OL,1989 Iowa
Les Miles,1989,Michigan,OL,1989 Michigan
Chris Klieman,1989,Northern Iowa,player,1989 Northern Iowa
Skip Holtz,1989,Colorado State,WR,1989 Colorado State
Matt Viator,1989,Vinton HS (LA),HC,1989 Vinton HS (LA)
Scott Satterfield,1989,Idaho,QB,1989 Idaho
Ed Orgeron,1989,Miami FL,DL,1989 Miami FL
Doc Holliday,1989,West Virginia,WR,1989 West Virginia
Mike Locksley,1989,Towson,player,1989 Towson
Chuck Martin,1989,Millikin,player,1989 Millikin
Jim Harbaugh,1989,Bears,player,1989 Bears
Rick Stockstill,1989,Clemson,QB,1989 Clemson
Mike Leach,1989,Iowa Wesleyan,OC,1989 Iowa Wesleyan
Ken Niumatalolo,1989,Hawaii,player,1989 Hawaii
Jay Norvell,1989,Wisconsin,OL,1989 Wisconsin
Doug Martin,1989,East Tennessee State,OC,1989 East Tennessee State
Mack Brown,1989,North Carolina,HC,1989 North Carolina
Brian Kelly,1989,Grand Valley State,DC,1989 Grand Valley State
Frank Solich,1989,Nebraska,RB,1989 Nebraska
Mike Gundy,1989,Oklahoma State,player,1989 Oklahoma State
Mario Cristobal,1989,Miami FL,player,1989 Miami FL
Pat Narduzzi,1989,Rhode Island,player,1989 Rhode Island
Jeff Brohm,1989,Louisville,player,1989 Louisville
Greg Schiano,1989,Rutgers,GA,1989 Rutgers
Brady Hoke,1989,Oregon State,DL,1989 Oregon State
Sonny Dykes,1989,Texas Tech,baseball player,1989 Texas Tech
Steve Campbell,1989,Auburn,GA,1989 Auburn
Jay Hopson,1989,Ole Miss,player,1989 Ole Miss
Dino Babers,1989,UNLV,RB,1989 UNLV
Gary Patterson,1989,Sonoma State,DC,1989 Sonoma State
Rod Carey,1989,Western Carolina,player,1989 Western Carolina
Jimbo Fisher,1989,Samford,QB,1989 Samford
Willie Fritz,1989,Coffeyville CC,DC,1989 Coffeyville CC
Chip Kelly,1989,Nevada,staff,1989 Nevada
Kyle Whittingham,1989,Idaho State,LB,1989 Idaho State
Gary Andersen,1989,Ricks College,OL,1989 Ricks College
Dana Dimel,1989,Kansas State,OL,1989 Kansas State
Jeff Traylor,1989,Big Sandy HS (TX),Asst,1989 Big Sandy HS (TX)
Derek Mason,1989,Northern Arizona,player,1989 Northern Arizona
Bronco Mendenhall,1989,Oregon State,DL,1989 Oregon State
Dave Clawson,1989,Albany,GA,1989 Albany
Paul Chryst,1989,West Virginia,GA,1989 West Virginia
Craig Bohl,1989,Rice,DC,1989 Rice
Bo Pelini,1989,Ohio State,player,1989 Ohio State
Bob Davie,1989,Texas A&M,DC,1989 Texas A&M
Bob Stoops,1989,Kansas State,DB,1989 Kansas State
Bobby Petrino,1989,Idaho,QB,1989 Idaho
Bobby Wilder,1989,Boston College,GA,1989 Boston College
Charlie Strong,1989,Florida,OLB,1989 Florida
Chris Petersen,1989,UC Davis,WR,1989 UC Davis
Jeff Tedford,1989,Calgary Stampeders,Asst,1989 Calgary Stampeders
Rocky Long,1989,TCU,DB,1989 TCU
Urban Meyer,1989,Illinois State,QB,1989 Illinois State
Mark Dantonio,1989,Youngstown State,DC,1989 Youngstown State
Troy Calhoun,1988,Air Force,player,1988 Air Force
Nick Saban,1988,Oilers,DB,1988 Oilers
Herm Edwards,1988,San Jose State,DB,1988 San Jose State
Sam Pittman,1988,Princeton Jr Sr HS (MO),HC,1988 Princeton Jr Sr HS (MO)
Blake Anderson,1988,Baylor,player,1988 Baylor
Jeff Monken,1988,Millikin,player,1988 Millikin
Gus Malzahn,1988,Henderson State,player,1988 Henderson State
Lance Leipold,1988,Wisconsin Whitewater,WR,1988 Wisconsin Whitewater
Jim McElwain,1988,Eastern Washington,QB,1988 Eastern Washington
Steve Addazio,1988,Cheshire HS (CT),HC,1988 Cheshire HS (CT)
Randy Edsall,1988,Syracuse,DB,1988 Syracuse
David Cutcliffe,1988,Tennessee,TE,1988 Tennessee
Chris Creighton,1988,Kenyon,player,1988 Kenyon
Butch Davis,1988,Miami FL,DL,1988 Miami FL
Lovie Smith,1988,Arizona State,LB,1988 Arizona State
Kirk Ferentz,1988,Iowa,OL,1988 Iowa
Les Miles,1988,Michigan,OL,1988 Michigan
Chris Klieman,1988,Northern Iowa,player,1988 Northern Iowa
Mark Stoops,1988,Iowa,player,1988 Iowa
Skip Holtz,1988,Florida State,GA,1988 Florida State
Matt Viator,1988,Sam Houston HS (LA),Asst,1988 Sam Houston HS (LA)
Scott Satterfield,1988,Weber State,WR,1988 Weber State
Ed Orgeron,1988,Miami FL,DL,1988 Miami FL
Doc Holliday,1988,West Virginia,WR,1988 West Virginia
Mike Locksley,1988,Towson,player,1988 Towson
Chuck Martin,1988,Millikin,player,1988 Millikin
Jim Harbaugh,1988,Bears,player,1988 Bears
Rick Stockstill,1988,Central Florida,WR,1988 Central Florida
Mike Leach,1988,College of the Desert,LB,1988 College of the Desert
Ken Niumatalolo,1988,Hawaii,player,1988 Hawaii
Jay Norvell,1988,Northern Iowa,WR,1988 Northern Iowa
Doug Martin,1988,East Tennessee State,RB,1988 East Tennessee State
Mack Brown,1988,North Carolina,HC,1988 North Carolina
Brian Kelly,1988,Grand Valley State,DB,1988 Grand Valley State
Frank Solich,1988,Nebraska,RB,1988 Nebraska
Mike Gundy,1988,Oklahoma State,player,1988 Oklahoma State
Pat Narduzzi,1988,Rhode Island,player,1988 Rhode Island
Greg Schiano,1988,Ramapo HS (NJ),Asst,1988 Ramapo HS (NJ)
Brady Hoke,1988,Toledo,LB,1988 Toledo
Steve Campbell,1988,Auburn,GA,1988 Auburn
Jay Hopson,1988,Ole Miss,player,1988 Ole Miss
Dino Babers,1988,UNLV,RB,1988 UNLV
Gary Patterson,1988,Pittsburg State,LB,1988 Pittsburg State
Jimbo Fisher,1988,Samford,QB,1988 Samford
Willie Fritz,1988,Coffeyville CC,DC,1988 Coffeyville CC
Chip Kelly,1988,Nevada,staff,1988 Nevada
Kyle Whittingham,1988,Idaho State,LB,1988 Idaho State
Gary Andersen,1988,Southeastern Louisiana,OC,1988 Southeastern Louisiana
Dana Dimel,1988,Kansas State,GA,1988 Kansas State
Dave Clawson,1988,Williams,player,1988 Williams
Paul Chryst,1988,Wisconsin,player,1988 Wisconsin
Craig Bohl,1988,Wisconsin,LB,1988 Wisconsin
Bo Pelini,1988,Ohio State,player,1988 Ohio State
Bob Davie,1988,Texas A&M,OLB,1988 Texas A&M
Bob Stoops,1988,Kent State,Asst,1988 Kent State
Bobby Petrino,1988,Weber State,WR,1988 Weber State
Bobby Wilder,1988,Boston College,GA,1988 Boston College
Charlie Strong,1988,Florida,OLB,1988 Florida
Chris Petersen,1988,UC Davis,freshman,1988 UC Davis
Rocky Long,1988,TCU,DB,1988 TCU
Urban Meyer,1988,Illinois State,OLB,1988 Illinois State
Mark Dantonio,1988,Youngstown State,DC,1988 Youngstown State
Troy Calhoun,1987,Air Force,player,1987 Air Force
Nick Saban,1987,Michigan State,DC,1987 Michigan State
Herm Edwards,1987,San Jose State,DB,1987 San Jose State
Sam Pittman,1987,Princeton Jr Sr HS (MO),HC,1987 Princeton Jr Sr HS (MO)
Blake Anderson,1987,Baylor,player,1987 Baylor
Jeff Monken,1987,Millikin,player,1987 Millikin
Gus Malzahn,1987,Henderson State,player,1987 Henderson State
Lance Leipold,1987,Wisconsin Whitewater,QB,1987 Wisconsin Whitewater
Jim McElwain,1987,Eastern Washington,QB,1987 Eastern Washington
Steve Addazio,1987,Western Connecticut State,OL,1987 Western Connecticut State
Randy Edsall,1987,Syracuse,DB,1987 Syracuse
David Cutcliffe,1987,Tennessee,TE,1987 Tennessee
Butch Davis,1987,Miami FL,DL,1987 Miami FL
Lovie Smith,1987,Wisconsin,LB,1987 Wisconsin
Kirk Ferentz,1987,Iowa,OL,1987 Iowa
Les Miles,1987,Michigan,OL,1987 Michigan
Chris Klieman,1987,Northern Iowa,player,1987 Northern Iowa
Mark Stoops,1987,Iowa,player,1987 Iowa
Skip Holtz,1987,Florida State,GA,1987 Florida State
